text,label,notes
"This is a criticism I don’t really see brought ip about the game a lot, and I would like to here.

Played it for the first time. Loved it. But I really feel like the mechanics are largely unimportant.

The notoriety system I think is the worst offender. I don’t think I ever became notorious outside of scripted instances. You can murder a mass of guards and get just a smidgen added to your meter, walk across the street, pull a poster off the wall, and no one knows who you are.

Because of that I almost never had to hide, blend in, or try to run. These would have been fun, satisfying mechanics, but the game never made them the best option.

I’m not sure why I didn’t consider this. But if I played again, I would probably refrain completely from ever fixing my notoriety.

Now look, I don’t necessarily NEED a game to be hard. I don’t NEED it to be easy. I’m just not sure I understand setting up a certain obstacle, and then undermining it by giving you effortless ways to work around it.",opinion,
"For me it’s harder than brotherhood, especially trying to get 100 percent sync. Definitely on memory sequence 6 when you are SOMEHOW not supposed to take any damage despite there being 100 guards! Don’t get me wrong other than the 100% sync I love this game and its story and happy to have the chance to play as Altair but I just can’t stand it. It was far more enjoyable and relaxing when I could just play brotherhood. I’ve nearly 100 percent that entire game. I am frustrated to the point I’m about to quit this game, it just seems so unfair with the amount of guards that come after you.",opinion,edge case
I’m trying to get full sync in every assassins creed game and AC Unity is by far the worst to 100%,opinion,
"
If you're achievement hunting, there are more ways to complete Abstergo challenges than finding social chests. Do the other challenges which are in your control - social chests are not. Hopefully you also found a whale and a royal convoy for the ""Sharing is caring"" achievement.

Also, pro tip: if you do find a chest, let it share the location. DO NOT OPEN IT! Then quit out to the main menu and load back in. The same chest should be available again and it will count once again. That is how I got 3/3 social chests - found one and then quit out and reloaded twice.",analysis,
"I hate this like wavy animation thing when I'm just moving the map across, is there any way to disable this? It's like giving me motion sickness feeling, not ever had an issue with an AC map before",analysis,
"Yeah, combat is repetitive and I hate how they didn't bother to depict a hoplite battle. It also threw all historical accuracy out of the window in favour of generic RPG enemies. Naval Battles are fun but lack the impact. Not even because it's limited by the tech of the time. E.g. No hoplite heavy Spartan ships where you basically end up fighting a hoplite unit on a ship. Athens had the better navy and Sparta's was regarded as a joke.",opinion,
I try to finish every Assassins Creed Game till Origins to 100%. Here are my reviews (Part 2),opinion,
"Shadows is a beautiful game with a lot of fun combat. But it has absolutely no personality beyond that.

It's ok to put it away.",opinion,
"
If your biggest issue is the story, then unfortunately it’s not going to get better. I thought Act 1 was actually good but Act 2 is when it really devolves into meaningless checklist filler.

I have close to 500 hours in Shadows (according to Playstation’s timer) but it was carried by the gameplay and build crafting. Nightmare difficulty where you really have to take all the gameplay mechanics seriously (as in, do more than just fish for parries and mash the light attack button), especially with no HUD and no Eagle Vision, is the most fun I’ve ever had with any AC game (probably alongside my first playthrough of Black Flag now that I think about it). My glass cannon damage + bleed + armor piercing builds for both Naoe and Yasuke basically recreate Ghost of Tsushima’s Lethal mode in Shadows. Stealth-wise, no two castle infiltrations even in the same castle play out the same way for me which is a mark of a good stealth game IMO.

That doesn’t excuse them dropping the ball so hard with the story but it’s a fun game if you’re willing to invest in the gameplay side.",opinion,
"Question is as the title. My first experience of the AC series was with Unity and Syndicate, and in those two games, climbing these view points are generally safe and rewarding with a spectacle view of the open-world when you reach the top alongside with the map opening up revealing many subquests and side objectives. But when I decided to start from the very beginning of the series that is AC1, I can only have that feeling within the cities.

The Kingdom area have towers in the middle of guard encampments. It wasn't as bad for the camps near Damascus, I was able to walk right in and climb as long as I don't suspiciously dash around. But after finishing my first assassination (Tamir in Damascus Poor district), I am pointed to either Acre or Jerusalem. The routes leading to both of them also have guard encampments around view points, but they aggro on sight so I'm stuck between ignoring the view point entirely or having to kill everyone inside just to climb that one tower.

All of this kinda ruining my experience a little. Do I get anything from opening up the Kingdom map entirely (Reveal the flags, extra bonus like Sync Bar)? Or should I just breeze past it on a full galloping horse straight to the cities?",analysis,
"
To answer your question: the kingdom viewpoints reveal the map and count towards your next sync point. 

Additional notes: there will be a story locked area in the Kingdom much like Solomon’s Temple at the beginning of the story. (Only open during a story sequence and unavailable during free play) Getting there is easier with a visible map but not impossible. Also, once you visit each city once, fast travel will be available. Basically, yeah, you can skip the Kingdom 

Friendly advice: Skip the Templar/Flag collectibles too. The reward you get is a checkmark in a box. Considering the collectibles aren’t marked on the map, it’ll be a nightmare to keep track of which have been picked up and which have not ",analysis,
"Maybe controversial, but I like the throughline of Sages, and even the Aesir planting themselves into the human genome as one-time reincarnations. To this end, Algirdas and Olgierd are both Sages of an Isu named Svarog, who was an inventor and builder of many of the Pieces of Eden. This is why Olgierd in the 21st century is such a prodigy.",opinion,
It's better to play Assassin's Creed 3 after Black Flag and Rogue,opinion,
They used Unity assassinations animation on the remake,analysis,
"So I am catching up AC syndicate, yes I know it is 10 years or more old. Love the series and I am playing them in order. Started playing AC since the PS3. So I had the Ned glitch. Could not get the Ale heist upgrade no matter how many times I tried the mission locking it.

Fix: I went to Robert T and activated him. I was in seq 7 and still had not done the fight stuff. So I went to see him, activated him. Then I was able to talk to Ned and activate him too.

After that everything was available.",analysis,
"
I’m not sure the full question but based off buying shadows for 2 platforms: Cross progression exists. If you save on one platform, the save transfers over to the other as well. Just hit continue and it’ll load the recent cloud save.

When it comes to deluxe items: you must own it on both platforms. If one platform doesn’t have it, it’ll be taken away in that platform. So if you own deluxe items on Xbox, and don’t own it on PC, then when you play on pc, they’ll take it away from your inventory.

Buying the game or deluxe items on one platform doesn’t give it to you on Ubisoft Connect, you have to buy it on BOTH platforms. No cross buy.",analysis,
"don't think so.

For me, the problem was the lack of coherence between stories and the super slow pace. There were a lot of activities, but I didn't find they were well organised.

It has been years since I played and I never returned to it. I don't know if I will.

I had some 60 hours of gameplay and I always felt like I was in a introduction trying to find out how the stories connect and work.",opinion,edge case
Would Valhalla be a better experience if I didn’t play it as an assassins creed game?,opinion,
It would 100% make the experience better. My main gripe about Valhalla was the constant thought of wasted AC potential. Plus y ou do not need to feel guilty about sacking the monasteries.,opinion,
Assassin’s Creed 1 is easily my favorite [AC1],opinion,
"
What I really miss from AC1 is the atmosphere, in both Altaïr's time and modern day. I replayed it a few years ago for the first time in a decade and I'd forgotten how genuinely dark and unsettling it could be, all the others (except Revelations at times, which is fitting) feel like some kind of heroic adventure but in AC1 you really feel the cold, oppressive nature of the events you're witnessing, from the brutality of the Crusades to Abstergo's iron grip. You don't feel like a Protagonist, you feel like a person doing what's necessary to make it through a dangerous situation that's much bigger than you individually.",opinion,
"
I thoroughly enjoyed AC1 when I first completely played it on PC during the pandemic 6 years ago and then played it again in 2023 on the 360. What i didn't know was the notes of Altair in 1 I knew about the writings of Altair in AC2 in the codex. You've given me something to look into. thank you",opinion,
"So I have been reading a lot into this and I am stuck between understanding whether people who take part in the grey and reincarnation are actually alive or all this is just making a copy of their memories and personality which then shows up and tries to be dominant.

For example Basim and Loki, I think Loki is actually dead and gone, his personality and memory is copied which resurfaces in Basim, its just that it's so confusing to have these memories that Basim starts to act like Loki, walk like him, talk like him

Same with Juno, Aita, Aesir. They are all just leaving a copy of their memories and personality.

Juno is just an AI trained on Juno's behaviour.

Aesir and Aita are just memories and personalities that resurface and overwrite the hosts personality.

In the ac Valhalla Isu scene where they show themselves uploading, after the uploading the Aesir walk out of the room with weapons in hand. If they were actually transferring their consciousness or themselves then their body should have become a shell, but that does not happen.

I think that all the Isu are dead and gone, they wanted to be immortal but all they have managed to do is leave a digital copy which acts like it is alive and it's the real person.

Please help me understand what is happening.",analysis,
"My biggest gripe with modern parkour is it just feels too fast. The characters make these huge vertical leaps, pull themselves up on ledges at lightning speeds, and jump over massive distances, it gives them a look of weightlessness. I understand some people like this, but for those that don’t I hope they add the option to disable bigger jumps and add slower animations. In my opinion slower movements make the climbing look more intentional, like the character is thinking about each grab as the climb.

Yes I know this will likely never happen, but I’d love to see it and wonder how many others agree?

Edit: slower as in closer to Unity. When I say modern i mean literally the last couple of games, the characters movement feels a little absurd.",opinion,
"Edit: Added some historical context. One bag of rice back then had a purchasing power of about 700 to 1,000 USD today.

As an old fan of this series, I really hope Assassin's Creed can have a good future. I tried my best to understand this game and ignore some negative comments about Shadows, but there are some details that make me feel a little confused.

In the game, we can see these rice bags left everywhere carelessly. They are placed beside the roads, or even right in the middle of the roads. We can also see them in wide open spaces, and in the messy corners of bandit camps. There is no proper storage and no cover for them, so they just stay under the sun and the rain.

For Asian people, rice is not just food to fill our stomachs, but it is also a very important soul that connects our family emotions, our culture, and our history. Americans might not eat bread every day, and Italians might not eat pizza every day, but we really eat rice every single day.

Therefore, leaving these rice bags everywhere. And they have no cover, so they stay under the sun and rain, which makes the rice become useless garbage. Seeing rice bags randomly placed anywhere under the rain makes me feel a little sad.

More importantly, in the Japanese Sengoku period, ""rice"" was actually the salary for samurai. Their income was calculated by how much rice they received. Those are not ordinary sacks, but standardized rice bales called *kome-dawara*. They held a defined quantity of rice with clear economic value and were used for taxation, stipends, and trade. They usually contained brown rice. At the time, rice was a major tax resource, military supply, and the basis of samurai stipends. Leaving rice bales like that would expose important food and valuable property to moisture, fire, theft, or damage.

r/assassinscreed - According to the official Nagano Inavalley Tourism Bureau
According to the official Nagano Inavalley Tourism Bureau
For example, Yasuke’s master, Oda Nobunaga, his historical income was ""7 million Koku"", which is about 1 billion kilograms of white rice. If Nobunaga gave Yasuke his salary, it would also be rice.

I cannot help but wonder, does UBI maybe not know that those are bags for valuable food? Is it possible that the management gave the studio these texture assets, but the staff did not recognize what they were, so they just pasted them to fill the empty space?

Also, perhaps for the light and shadow system, there are too many lighting facilities, like many bonfires, torches, and lamp stands.

At that time, almost all buildings were made of wood, so this looks very dangerous. Torches are even placed right next to straw and rice bags.

Even if I try not to worry about these things, seeing lamps lighted outdoors in the broad daylight is still a bit strange for me. I really hope the development team can notice these small details.",analysis,edge case
They know. But it's an action video-game so it's there so you can climb on it and get onto the wall. Same reason for all the torches. It's to add more gameplay for the new darkness/stealth mechanics.,analysis,
"
If the setting is Assassin's Creed Syndicate and Unity, then that is pretty much like having barrels of whisky or brandy just casually left lying around all over the place.",opinion,
View points are for fast traveling which is needed especially in the frontier section of the map. Guns get better once you can start upgrading them a bit but I bet you’ll like the bow and arrow,analysis,
"Fast travel was reworked for this game so rather than between fixed points for departure point and destination you can, under most circumstances, go from wherever you are to any Viewpoint you've activated. Saves time heading to a stable or underground passed entry.",analysis,
"Mine is similar to yours

Story is far more cinematic and missions are pretty cool too

General gameplay is worse all around to me.",opinion,
"When the guards were shooting at me, it was hard to avoid them. Believe me, at first, I was cussing at the screen more times than I can count. Then I realized I just had to push the dodge button at the right time while climbing. I started practicing parkour, you know, just mindlessly running around on top of the buildings, bouncing between walls, and learning which button input does what. Once I figured that out, I started learning how the dodge button worked while climbing without getting shot at. Then I practiced with real soldiers, letting them chase me. Yeah, it works pretty well. Sometimes I still get shot at, but not as much. With all this being said, Unity is still my favorite when it comes to parkour!",analysis,
"As stated in the title, I'm curious if many fans still expect new AC titles to contain robust movement mechanics, or if the importance of that has diminished as the series has changed in genre and scope.",opinion,
"Taking a Leap of Faith…

• Full immersion.
If you are a newcomer interested in the entire mainline game series, simply follow the red tiles on the infographic. If you want to go further, you can explore the spin-offs and video materials as well. And if you want to fully dive into the world of Assassin’s Creed, start adding the books and comics to your journey.

• Fresh blood.
If you are planning to jump into the series but do not feel like going all the way back to 2007, you can skip the franchise’s “Golden Era” and start with the soft reboot — Assassin’s Creed Origins. Some pieces of lore may feel unclear at first, but you can always look them up when needed.

• A journey through the ages.
If you are not particularly interested in the modern-day storyline, the Pieces of Eden, or the wider lore, feel free to launch any project from the red tiles. Into pirates? Assassin’s Creed Black Flag is at your disposal. Prefer Victorian London? Welcome to Assassin’s Creed Syndicate. Finished the game and enjoyed it? Then move on to the related comics and books.",analysis,
"I'm playing through Valhalla and noticed something curious. When you hover over abbey locations on the map, the ambient chant that plays is actually ""Chestneyshuyu Kheruvim"" (More Honorable than the Cherubim) – a well-known Eastern Orthodox hymn sung in Church Slavonic. I recognized it because I'm Orthodox Christian and hear it regularly at services. The thing is, 9th century Anglo-Saxon England was entirely Latin rite. Church Slavonic liturgy would have had no place there historically. Looks like Ubisoft's sound team grabbed a sample from a library without checking which Christian tradition it belongs to. Has anyone else caught this? I'd imagine most players just hear it as generic church choir ambiance.",analysis,
AC2....i love and hate this game at the same time.,opinion,
interesting.. Ive been on a platinum hunt with ac and been replaying them. I thought 2 held up rather well. The parlor was really good and I appreciate it.,opinion,
The most infuriating one was AC1 I actually stopped playing that one because I couldn’t stand the stuff controller. AC2 is a bit better . But I’m also playing like 5 others at the same time lol,opinion,
The steam store page literally says it does. Also all Ubisoft titles on PC support Dualsense haptics and triggers on PC so there's that.,analysis,
"This ac3 had projectile chain kills which i wouldnt know if i wouldnt remember em fron brotherhood

Then there are the enviromental kills which were explained in a haytham segment then you only ever had to do it once more on a brawler challenge way later pretty sure

Or Ac4 and the throwing knife kills, which i wouldnt even have noticed if i wasnt looking at challenges",analysis,
The wild west. I have no idea why people keep bringing it up.,opinion,
"
If the game was that dark with the default HDR settings, you could always tweak the Exposure setting to brighten it a bit.

But if it needs more adjustment than that, you should look up a HDR calibration guide for your specific TV, as it sounds like your TVs HDR isn’t calibrated correctly",analysis,
Assassins Creed 3 Remaster Graphics are awful [Non Spoiler],opinion,
"Prefer the command line? This auto-detects your language, no hex editor.

Run in the AC2 install folder. Makes a .bak, asserts the layout before writing, so it can't corrupt the file. (Linux/macOS/WSL, or any Python on Windows.)
python3 - <<'PY'
import re, shutil
f   = ""uplay_install.state""
LOC = rb""[a-z]{2}-[A-Z]{2}""                 # de-DE, fr-FR, ru-RU, zh-CN, ...
d   = open(f, ""rb"").read()
assert len(re.findall(rb""\x1a\x05""     + LOC, d)) == 1, ""head token not found""
assert len(re.findall(rb""\xd2\x01\x05"" + LOC, d)) == 1, ""tail token not found""
shutil.copy(f, f + "".bak"")
d = re.sub(rb""(\x1a\x05)""     + LOC, rb""\1en-US"", d, count=1)
d = re.sub(rb""(\xd2\x01\x05)"" + LOC, rb""\1en-US"", d, count=1)
open(f, ""wb"").write(d)
print(""Done -> en-US (backup at %s.bak)"" % f)
PY
For a different target language, replace both en-US with your code (e.g. fr-FR).",analysis,
"Why the registry trick alone fails: the game reads its language from HKLM\SOFTWARE\Wow6432Node\Ubisoft\Assassin's Creed II\Language, but Ubisoft Connect rewrites that value on every launch from the real source of truth — the active language token inside uplay_install.state. Edit only the registry and Uplay reverts it. So you must fix uplay_install.state.",analysis,
A setting in China that I think would be incredible for a hypothetical Assassin’s Creed game,opinion,
"Indie game dev here! Just wondering if anyone had any resources on any of the games’ parkour systems? Like dev logs, infographics, books etc for the games or even just parkour systems in general. Would love to read about it and do a project trying to replicate the parkour systems we all know and (mostly) love.

Honestly, even the ‘worst’ iterations of them are an incredible technical feat!!! Id love to even just know more about how they were made.

As a sort of guide for what I am looking for, I have already seen the dev analysis on Unity’s parkour system, and I found it to be a bit too high level.",analysis,
Is eagle vision/sense always on or does the assassin have to tap in to it?,analysis,
The clothes in AC Mirage are totally wrong! As someone who visited al-Anbar and read a lot about it and asked friends from there,opinion,
"I'm currently platinuming Unity and I have only this mission to 100% synchronize.


The mission objectives itself are not the problem but the final boss fight! Yeah I did it once, but I have zero chance on doing it again! How did I even do it..


Every time I try to swap cover, I'm just vaulting over the cover and jumping straight into the open and dying!


And yes I use distractions like smoke bombs and cherry bombs, but the final time I need to attack him, I fail! Nine times in a row already.",analysis,
"I know it's ""Hidden One"" outfits weren't many in AC Valhalla, but I do think they tried.",opinion,
"Yes. Assassin's Creed: Underworld states that Evie grew up learning about most of the Assassins we play as:

Learning, that was what fired the imagination of Evie Frye. The writings of Assassin elders, chronicles of legendary Assassins: Altaïr Ibn-La’Ahad, whose name means ‘the flying eagle’, the handsome and dashing Ezio Auditore da Firenze, Edward Kenway, Arno Dorian, Adéwalé, Aveline de Grandpré and, of course, Arbaaz Mir, with whom her father had spent so much time when they were younger men. All of them had joined the struggle to hold the Templar scourge at bay, fighting for freedom in whatever time and territory they plied their trade; most had at one time or another become involved in helping to locate what were known as artefacts.",analysis,
"
Hi all,

I recall being able to own a previous AC game on steam, while owning the dlc(s) on my connected UbiConnect account, and having no issues utilizing said dlc in my steam installed version. Am i making this up, and if not, is this still the case in shadows? (also lowkey valhalla bc i originally owned the game + year 1 dlcs on ubi, and have started to migrate most of my ubi games to steam now that more of the recent ones are available with achievements and everything.)",analysis,
"I can confidently say that Origins is, truly, the best AC game to date",opinion,
"This version featured four PC-exclusive memories, including the Rooftop Race Challenge, the Archer Stealth Assassination Challenge, Merchant Stand Destruction and Informant Escort Challenge.",analysis,
Ezio is a Mary Sue character,opinion,
Going through a tough time rn and replaying Assassin's Creed Brotherhood has been great,opinion,
"
Thats what I love about AC, it offers me a temporary secondary world which I can enjoy after a stressful day of work. I know you can say that for any good video game but ac for me specifically hits the ""relax"" zone the hardest.",opinion,
AC Brotherhood is one of the worst games in the series.,opinion,
"Hi.

I just beat Brotherhood and I started Revelations. I was checking online if I have all the content to that game, and I discovered that two Templar Lairs should have been unlocked through the Da Vinci Disappearance DLC. They have not

Is there a way to still unlock them?

My game says 100% sync, but I didn't do those lairs.

Thanks.",analysis,
"Hold ZR and B to sprint/free-run and climb. Tap B while holding ZR to manually jump.

You can skip most of the race by climbing the church directly. You will very likely be ahead of his brother by the time you reach the roof.",analysis,
Ac3 is the only AC game I’ve truly struggled to get into,opinion,
"The Origin of 'The Creed'

As you can likely guess, the Creed originates back to the days of Bayek of Siwa (38BC), when he and his wife, Aya, formed The Hidden Ones. However, it wasn't until the days of Altaïr Ibn-La'Ahad (1191AD) that we learned of the three tenants of 'The Creed'.

The Three Tenants of the Assassin's Creed

Stay your blade from the flesh of the innocent. - Originally introduced by Bayek of Siwa, this is put in place to avoid Assassins from deviating from their path as precise killers - only killing those who justly deserve it.

Hide in plain sight. - The Assassins aren't an order that wants to affect the world through guidance or manipulation, only remove those who seek to control the free-will of others. This also adds to the mysterious or supernatural effect of Assassins appearing from nowhere and seemingly disappearing just as easily.

Never compromise the Brotherhood. - A simple one of self preservation. If an assassin is ever being pursued, they must never directly retreat to a known assassin hideout. If an assassin is captured and questioned, they must never reveal any of the orders secrets.",analysis,
"There were definitely “harder” ones to get, but Original Gamer in AC3 was the absolute worst. AI miracles in Bowls, and needed a video guide to win at Fanorona and Morris because even if I thought I knew the rules, the AI would pull some bullshit. Felt like it took me 4 hours waiting for the computer to mess up and not get a perfect Bowls round when I was up 3 points in the last round. Never again.",opinion,
Any love you have for Assassin's Creed III is nostalgia. It's dreadful.,opinion,
Shadows Main Story is ~40 Hours long,analysis,
Brotherhood and Revelations felt so much weaker than AC II,opinion,
AC Brotherhood is kind of a slog imo,opinion,
"I found a very simple solution for Assassin’s Creed 1 stuttering on PC (Windows 10/11).

Problem: The game stutters every few seconds even on decent hardware. Tried V-Sync off, affinity, FPS cap, etc. — nothing fully worked.

Solution (very simple): ➡️ Disconnect from the internet and play the game OFFLINE.

Steps:

Turn off Wi-Fi / unplug Ethernet.

Launch Assassin’s Creed 1.

Play normally.

Result: Stuttering disappears or is significantly reduced.

No mods. No config files. No extra programs.

Explanation (possible reason): The game tries to connect to old Ubisoft online services that no longer work, causing periodic freezes. Playing offline stops these checks.",analysis,
"Dude, I've going around a lot of foros searching for a solution and I want to share what it worked for me cause I would love to find an answer like this.

If you start playing the game and find randomly the game screen freeze and then go on in bucle, you just have to quit the internet before launch the game. Resolved, the game will perform perfectly.",analysis,
"In the original book which Assassin creed was based on(Go read the Alamut) the phrase had two meaning

the first one meant the only real world is heaven and this reality exist solely to uplift you to heaven. As to make Hasan’s follower value their lives less and Value his goals more

the second meaning was the cynical version that the world is based on our mere senses and that gives Hassan free reign to control others with his ideology with no real consequences

i strongly believe the AC version is the same.

-Notice how every protagonist defines it differently And is pretty contextually sensitive to their journey

-Altair wrote in the codex that if everyone in their organization dropped dead someone will eventually see what remains of their symbols and culture then replicate it for their own means(a good chance the assassins we see are not the ones from origins)

-you did and caused a lot of historical Disasters and or tragedy to come into fruition that the game never shine that much of a light on (Like killing Caesar):

-think of all the space aged technology that could’ve advance humanity far beyond their capabilitie I mean I get the apple don’t want to mind control others but a cloak that heals you or a lightning sword could have done so much good.

the series to me feel like both Group were finding excuses to play god while the world would be better off without both of them",analysis,
Assassin's Creed Origin's world is the greatest open world I've ever experienced,opinion,
I know I'm very late to the party but I just love AC Origins so much!,opinion,
"
Flavius is with Caesar when they snuck Cleaopatra via rug into their meeting with Ptolemy. He's also in the tomb of Alexander the Great and Bayek can overhear him talking to Caesar about introducing him to the Order of Ancients. He's also with Bayek and Aya and Caesar during the Battle of the Nile. Although they never have a direct conversation with him, they've certainly been ""in the same room"" with him a number of times during the story and we can reasonably assume since they trusted Caesar, they could also trust whoever was around him as his ally.",analysis,
AC Origins missed some huge story possibilities,opinion,
Seriously the theme is so epic. Bayek of Siwa is another standout track! Sarah Schachner did a great job mixing modern music with a Egyptian theme.,opinion,
"
Not gonna lie, it’s probably my favorite theme of the whole franchise. I love the atmosphere, the arrangements. Very immersive.",opinion,
Assassin's Creed Origins has my favourite soundtrack of all of the Assassin's Creed games,opinion,
"
The quests are this week's ""Trials of the Gods."" https://support.ubisoft.com/en-GB/Faqs/000032123/Trials-of-the-Gods-ACO/

Don't even go near them before you're level 38 at least. Unless you enjoy pain.

I don't recommend the level boost to new players. It was meant for returning players when the 2nd DLC ""Curse of the Pharaohs"" came out. Boosting yourself to 45 will dump a truckload of skill points on you, so you'll be unlocking almost your entire skill tree at once. That will most likely be overwhelming. It's better to unlock your skills one-by-one and find out what each one can do for you before getting the next.

You should learn which weapons are ""best"" by giving them all a try and finding out which class suits your playstyle. They all have pros and cons. Generally it's a good idea to have two very different ones equipped in the two slots, so that you can switch quickly as needed, i. e. some daggers for brawling and maybe a spear for when you're fighting mounted.

Clothing has no stats in Origins so you can choose any outfit you like.

Shields have resistance perks. Choose one with resistances that are appropriate to the task at hand. For example, when you're going to clear a crocodile lair you don't need ranged resistance on your shield because crocodiles are unlikely to shoot arrows at you. You want melee resistance in this case. When you find a shield that has resistances for both major damage types (melee and ranged), hold on to it. There is no shield in the game that has resistances to all three damage types (melee, ranged and fire) so it's always a trade-off.",analysis,
"i’ve been a assassin creed fan for a long time, played nearly every game but odyssey is probably the funnest one there is. i know people look at it and think it’s not an assassin creed game which i agree with most of the time (except the hidden blade dlc) but it’s just a really fun game and alexios/kassandra are one of the best protagonists in the franchise. what’s your opinions on odyessy?",opinion,
